title,release_date,pages,publisher,description,barcode,isbn,edition,category,rating,book_id,image_fpath,summary,price
"Charlie Brown, Snoopy and me :and all the other Peanuts characters",01/01/1981,,W.H. Allen,,8743239,491026455,1,(Charles Monroe),,85957,,,
The man who was H.M. Bateman,01/01/1982,,Webb & Bower,,7440527,906671574,1,(Henry Mayo),,85958,,,
"English caricature :1620 to the present : caricaturists and satirists, their art, their purpose and influence.",01/01/1984,,Victoria and Albert Museum,,12686628,905209958,1,1620-1982,,85959,,,
Musical delights :a cavalcade of cartoon and caricature,01/01/1984,,Thames and Hudson,,8744140,500013438,1,1732-1983,,85960,,,
Masters of caricature :from Hogarth and Gillray to Scarfe and Levine,01/01/1981,,Weidenfeld and Nicolson,,8739964,297779044,1,1744-1980,,85961,,,
The ungentlemanly art :a history of American political cartoons,01/01/1975,,Macmillan,,10547249,,1,1747-1975,,85962,,,
"Boney, ou, Napoleon vu par les Anglais",01/01/1985,,Devon Library Services,,10116509,861145550,1,1782-1830,,85964,,,
A human comedy :physiognomy and caricature in 19th century Paris,01/01/1982,,Thames and Hudson,,8744080,500012687,1,1800-1900,,85965,,,
Victorian comics,01/01/1976,,Allen and Unwin,,10022120,47410027,1,1837-1901,,85967,,,
The fishing cartoon book,01/01/1977,,David and Charles,,8089283,071537396X,1,1837-1977,,85968,,,
"Great drawings and illustrations from Punch 1841-1901 :192 works by Leech, Keene, du Maurier, May and 21 others",01/01/1981,,Dover Publications,,8077610,486241106,1,1841-1901,,85969,,,
Humorous Victorian spot illustrations,01/01/1985,,Dover,,8077903,486248968,1,1841-1901,,85971,,,
Galloping through 'Punch',01/01/1976,,David and Charles,,8089153,715371983,1,1843-1975,,85973,,,
"'Punch' on children :a panorama, 1845-1865",01/01/1975,,Muller,,10704679,584102305,1,1845-1865,,85974,,,
The genius of Wilhelm Busch :comedy of frustration : an English anthology,01/01/1982,,University of California Press,,8748575,520038975,1,1856-1900,,85975,,,
Latin America in caricature,01/01/1980,,University of Texas Press,,8738391,292746261,1,1860-1970,,85977,,,
Beerbohm's literary caricatures :from Homer to Huxley,01/01/1977,,Allen Lane,,8082605,713910666,1,1872-1956,,85978,,,
Rossetti and his circle,01/01/1987,,Yale University Press,,9391134,300039867,1,1872-1956,,85979,,,
Cartoonist at war,01/01/1981,,Book Club Associates,,10554587,,1,1873-1960,,85980,,,
Happy days :a century of comics,01/01/1975,,Jupiter Books,,12679174,904041336,1,1874-1974,,85981,,,
The art of the comic strip,01/01/1979,,Macmillan,,9382296,002736500X,1,1890-1977,,85983,,,
Rupert :a bear's life,01/01/1985,,Pavilion,,7446207,907516769,1,1892-,,85985,,,
The cartoon connection :the art of pictorial humour,01/01/1977,,Elm Tree Books,,8045567,241894832,1,1900-1976,,85986,,,
Donald Duck,01/01/1980,,New English Library,,7388258,450046397,1,1901-1966,,85987,,,
Walt Disney's Donald Duck :50 years of happy frustration,01/01/1985,,Ebury,,8792650,852234481,1,1901-1966,,85988,,,
"Walt Disney's Mickey Mouse memorabilia :the vintage years, 1928-1938",01/01/1986,,Octopus,,12630274,810914395,1,1901-1966,,85989,,,
The comic art of Reg Parlett :60 years of comics!,01/01/1986,,Golden Fun,,8820349,951121405,1,1904-,,85990,,,
Rowland Emett :from 'Punch' to 'Chitty chitty bang bang' and beyond.,01/01/1988,,Beetles,,11816786,,1,1906-,,85991,,,
22 comic artists :an exhibition,01/01/1975,,The Library,,12025163,901276073,1,1910-1970,,85992,,,
1001 spot illustrations of the lively twenties,01/01/1986,,Dover,,8077927,486250210,1,1920-1930,,85994,,,
Heckling Hitler :caricatures of the Third Reich,01/01/1984,,Orbis,,9459405,856134368,1,1920-1945,,85996,,,
Communist cartoons :cartoons from The communist 1921-22,01/01/1982,,James Klugman Pictorials,,8130347,946114005,1,1921-1922,,85997,,,
"The 'New Yorker' album of drawings, 1925-1975.",01/01/1976,,Deutsch,,7370811,233968105,1,1925-1975,,85999,,,
Caricatures and watercolours.,01/01/1987,,Ashmolean Museum,,7449161,907849830,1,1926-,,86001,,,
Tiger Tim's own comic collection,01/01/1977,,H. Baker,,11983491,703001299,1,1931-1939,,86002,,,
Cog in the war machine,01/01/1985,,Starfish,,7434582,090584730X,1,1939-1945,,86003,,,
"Beaverbrook's England 1940-1965 :an exhibition of cartoon originals by Michael Cummings, David Low, Vicky and Sidney 'George' Strube",01/01/1981,,"[Centre for the Study of Cartoons and Caricature, University of Kent at Canterbury]",,10553842,,1,1940-1965,,86004,,,
