id,price,barcode,category,description,edition,image,isbn,pages,publisher,rating,releasedate,summary,title
11,,,,,1,,,,,,,,Hello Inheritance
85957,23,8743239,(Charles Monroe),,1,,491026455,48,W.H. Allen,1.14084457280114,01/01/1981,,"Charlie Brown, Snoopy and me :and all the other Peanuts characters"
85958,36,7440527,(Henry Mayo),,1,,906671574,193,Webb & Bower,3.03263983456418,01/01/1982,,The man who was H.M. Bateman
85959,24,12686628,1620-1982,,1,,905209958,266,Victoria and Albert Museum,3.20970095926896,01/01/1984,,"English caricature :1620 to the present : caricaturists and satirists, their art, their purpose and influence."
85960,18,8744140,1732-1983,,1,,500013438,260,Thames and Hudson,3.16715726396069,01/01/1984,,Musical delights :a cavalcade of cartoon and caricature
85965,89,8744080,1800-1900,,1,,500012687,497,Thames and Hudson,0.905903049279004,01/01/1982,,A human comedy :physiognomy and caricature in 19th century Paris
85961,53,8739964,1744-1980,,1,,297779044,435,Weidenfeld and Nicolson,3.53235730435699,01/01/1981,,Masters of caricature :from Hogarth and Gillray to Scarfe and Levine
85962,38,10547249,1747-1975,,1,,,259,Macmillan,4.27808729698882,01/01/1975,,The ungentlemanly art :a history of American political cartoons
85964,7,10116509,1782-1830,,1,,861145550,458,Devon Library Services,4.11734839435667,01/01/1985,,"Boney, ou, Napoleon vu par les Anglais"
85968,12,8089283,1837-1977,,1,,071537396X,262,David and Charles,1.82017178740352,01/01/1977,,The fishing cartoon book
85969,89,8077610,1841-1901,,1,,486241106,114,Dover Publications,2.66429447801784,01/01/1981,,"Great drawings and illustrations from Punch 1841-1901 :192 works by Leech, Keene, du Maurier, May and 21 others"
85971,94,8077903,1841-1901,,1,,486248968,62,Dover,1.80814570980147,01/01/1985,,Humorous Victorian spot illustrations
85973,80,8089153,1843-1975,,1,,715371983,65,David and Charles,3.57611607993022,01/01/1976,,Galloping through 'Punch'
86139,81,16483171,Adventure stories.,,1,,9.78E+12,51,,1.1617811745964,01/01/2014,,Adventure time with Fionna & Cake
86140,22,16495589,Adventure stories.,,1,,9.78E+12,246,,3.99557284545153,01/01/2014,,Hawk
86141,71,16521754,Adventure stories.,,1,,9.78E+12,227,,2.66483485000208,01/01/2014,,Wayne Shelton.
86142,45,8091539,Advertisements,,1,,071561651X,263,Duckworth,1.06512269936502,01/01/1979,,The gentle art of advertising
86143,28,8979259,Advertising / Humor.,,1,,1903793068,386,Welcome Publishing,2.63049809494987,01/01/2003,,Adverts from hell
86144,49,11392499,Aerobic exercises / Humor.,,1,,1850153248,407,Exley,1.04700537165627,01/01/1993,,The crazy world of aerobics
86145,9,6960528,Aesop's fables / Adaptations.,,1,,743222474,394,Scribner,1.30748150870204,01/01/2004,,The ant or the grasshopper?
86146,34,15684133,"Afghan War, 2001- / Comic books, strips, etc.",,1,,9.78E+12,202,Freight,1.71140119433403,01/01/2010,,Dougie's war :a graphic novel about one soldier's return from Afghanistan
86147,5,15505566,"Afghan War, 2001- / Comic books, strips, etc. / Fiction.",,1,,9.78E+12,368,Freight,4.38238221919164,01/01/2010,,Dougie's war
86150,34,15794775,"Afghanistan / Social conditions / 20th century / Comic books, strips, etc. / Fiction.",,1,,9.78E+12,441,Bloomsbury,4.46811782661825,01/01/2011,,The kite runner :the graphic novel
86151,31,7234071,Africa,,1,,,153,Baobab,3.68118199054152,01/01/1993,,Africaman.
86152,61,15523313,"Africa / Discovery and exploration / Comic books, strips, etc. / Fiction.",,1,,9.78E+12,14,SelfMadeHero,1.48557930020615,01/01/2010,,Heart of darkness
86154,67,10124664,Africa / Politics and government / 1960- / Caricatures and cartoons.,,1,,953935701,96,Folta,2.6153854560107,01/01/2000,,Tayo thro' the years :editorial cartoons
86155,63,14627539,"African American journalists / Southern States / Comic books, strips etc. / Fiction.",,1,,9.78E+12,125,Titan,1.00282677449286,01/01/2008,,Incognegro
85974,30,10704679,1845-1865,,1,,584102305,254,Muller,4.43817760096863,01/01/1975,,"'Punch' on children :a panorama, 1845-1865"
87890,99,11826867,British comics,,1,,,166,Fleetaway,1.51143885450438,01/01/1989,,Judge Dredd's crime file.
87894,92,12297988,British comics,,1,,,3,D. C. Thomson & Co.,0.59866092633456,01/01/1981,,Tops.
87895,66,12470852,British comics,,1,,,0,Marvel Comics,2.53778068581596,01/01/1990,,The Knights of Pendragon.
87897,68,7010180,British humorous cartoons,,1,,4107012,269,Collins,2.47320524882525,01/01/1972,,The Aquarius personality - January 21 to February 19 :a portrait
87898,66,7010181,British humorous cartoons,,1,,4107020,384,Collins,3.22785248747095,01/01/1972,,The Pisces personality - February 20 to March 20 :a portrait
87899,26,7010182,British humorous cartoons,,1,,4107039,193,Collins,2.9388231690973,01/01/1972,,The Aries personality - March 21 to April 20 :a portrait
87900,94,7010183,British humorous cartoons,,1,,4107047,448,Collins,2.98053359379992,01/01/1972,,The Taurus personality - April 21 to May 21 :a portrait
87901,18,7010184,British humorous cartoons,,1,,4107055,427,Collins,3.69202986825258,01/01/1972,,The Gemini personality - May 22 to June 21 :a portrait
87902,45,7010185,British humorous cartoons,,1,,4107063,240,Collins,2.7476632129401,01/01/1972,,The Cancer personality - June 22 to July 22 :a portrait
87903,49,7010186,British humorous cartoons,,1,,4107071,265,Collins,3.32157397409901,01/01/1972,,The Leo personality - July 23 to August 23 :a portrait
87904,10,7010187,British humorous cartoons,,1,,000410708X,18,Collins,4.24116750480607,01/01/1972,,The Virgo personality - August 24 to September 23 :a portrait
87905,31,7010188,British humorous cartoons,,1,,4107098,297,Collins,1.55475154519081,01/01/1972,,The Libra personality - September 24 to October 23 :a portrait
86818,72,9439929,"American wit and humor, Pictorial.",,1,,743444809,187,ibooks,0.483122114092112,01/01/2002,,Inside Mad
86826,23,9652927,"American wit and humor, Pictorial.",,1,,,140,Reinhardt,1.8233678303659,01/01/1956,,The good-tempered pencil :a survey of modern British and American humorous art!.
86832,40,10089827,"American wit and humor, Pictorial.",,1,,747537747,12,Kitchen Sink Press,1.43419288564473,01/01/1997,,The R. Crumb coffee table art book
86833,27,10089941,"American wit and humor, Pictorial.",,1,,747541604,178,Bloomsbury,4.94442293420434,01/01/1998,,"The gashlycrumb tinies, or, After the outing"
86834,62,10090083,"American wit and humor, Pictorial.",,1,,747545308,110,Bloomsbury,4.49514991603792,01/01/1999,,The haunted tea-cosy
86835,18,10090599,"American wit and humor, Pictorial.",,1,,747560838,76,Bloomsbury,0.413655047304928,01/01/2002,,The object-lesson
86836,95,10090600,"American wit and humor, Pictorial.",,1,,747560846,377,Bloomsbury,3.04614121792838,01/01/2002,,The other statue
92689,80,12472192,Comics,,1,,,197,Clearmark,3.2693135086447,01/01/1990,,The World of Wym.
86157,90,10756433,"African Americans / Comic books, strips, etc.",,1,,1578062810,294,University Press of Mississippi,2.568225604482,01/01/2001,,"Black superheroes, Milestone comics, and their fans"
86158,90,15337700,"African Americans / Comic books, strips, etc. / Fiction.",,1,,9.78E+12,445,Titan,0.993970688432455,01/01/2009,,A hero's welcome
86159,83,13750033,"Africans / Great Britain / Social life and customs / Comic books, strips, etc.",,1,,,308,DSBC],2.32514679199085,01/01/2008,,DSBC magazine.
86161,52,13195604,Aged / Humor.,,1,,1904967108,342,Powerfresh,3.70907017728314,01/01/2005,,Wrinklies rule OK
86162,29,12946599,Aging / Caricatures and cartoons.,,1,,1841612189,494,Ravette,4.02661052299663,01/01/2004,,The Odd Squad's saggy bits
86163,66,15427661,Aging / Caricatures and cartoons.,,1,,9.78E+12,1,Summersdale,0.534847751259804,01/01/2010,,"Older, wiser- sexier"
86165,83,15952432,Aging / Caricatures and cartoons.,,1,,9.78E+12,109,Summersdale,1.87622744124383,01/01/2012,,"Lets not age, lets just marinate"
85975,50,8748575,1856-1900,,1,,520038975,498,University of California Press,4.93251357227564,01/01/1982,,The genius of Wilhelm Busch :comedy of frustration : an English anthology
85977,56,8738391,1860-1970,,1,,292746261,44,University of Texas Press,4.0672050579451,01/01/1980,,Latin America in caricature
85978,61,8082605,1872-1956,,1,,713910666,93,Allen Lane,0.772867880295962,01/01/1977,,Beerbohm's literary caricatures :from Homer to Huxley
85979,69,9391134,1872-1956,,1,,300039867,258,Yale University Press,4.21060087159276,01/01/1987,,Rossetti and his circle
85980,14,10554587,1873-1960,,1,,,2,Book Club Associates,3.18455345230177,01/01/1981,,Cartoonist at war
85981,65,12679174,1874-1974,,1,,904041336,355,Jupiter Books,2.59303966769949,01/01/1975,,Happy days :a century of comics
85983,57,9382296,1890-1977,,1,,002736500X,372,Macmillan,1.8748953496106,01/01/1979,,The art of the comic strip
85985,81,7446207,1892-,,1,,907516769,65,Pavilion,4.99269916443154,01/01/1985,,Rupert :a bear's life
85986,3,8045567,1900-1976,,1,,241894832,421,Elm Tree Books,1.16915574995801,01/01/1977,,The cartoon connection :the art of pictorial humour
85987,23,7388258,1901-1966,,1,,450046397,423,New English Library,3.036676524207,01/01/1980,,Donald Duck
85988,67,8792650,1901-1966,,1,,852234481,311,Ebury,3.98827200988308,01/01/1985,,Walt Disney's Donald Duck :50 years of happy frustration
85989,13,12630274,1901-1966,,1,,810914395,148,Octopus,3.83399059996009,01/01/1986,,"Walt Disney's Mickey Mouse memorabilia :the vintage years, 1928-1938"
85990,99,8820349,1904-,,1,,951121405,187,Golden Fun,4.10179922357202,01/01/1986,,The comic art of Reg Parlett :60 years of comics!
85991,81,11816786,1906-,,1,,,197,Beetles,1.61877010483295,01/01/1988,,Rowland Emett :from 'Punch' to 'Chitty chitty bang bang' and beyond.
86166,51,16609493,Aging / Caricatures and cartoons.,,1,,9.78E+12,56,,4.88099597161636,01/01/2014,,"Old enough to know better, young enough not to care"
86167,94,6943339,Agriculture / Caricatures and cartoons.,,1,,9.78E+12,81,Old Pond,0.409280732274055,01/01/2003,,Last round-up
86168,29,9502251,Agriculture / Great Britain / Caricatures and cartoons.,,1,,1903783178,399,Hudson History,3.33017129916698,01/01/2003,,Farming :the lighter side
86169,13,13246072,Air guitar / Caricatures and cartoons.,,1,,1860746535,425,Sanctuary,4.2633781931363,01/01/2005,,Better living through air guitar
86171,6,14686514,"Air pilots / Comic books, strips, etc. / Juvenile fiction.",,1,,9.78E+12,22,Cinebook,4.87739856122062,01/01/2008,,Spitfire parade
86194,46,15468510,"Ali Baba (Legendary character) / Comic books, strips, etc. / Juvenile fiction.",,1,,9.78E+12,53,Lerner,2.0113532897085,01/01/2010,,Ali Baba :fooling the forty thieves
86195,27,16225360,"Ali Baba (Legendary character) / Comic books, strips, etc. / Juvenile fiction.",,1,,9.78E+12,439,Raintree,0.748957493342459,01/01/2013,,Ali Baba and the forty thieves
86196,69,15659663,"Ali, Muhammad / 1942- / Comic books, strips, etc. / Fiction.",,1,,9.78E+12,118,Titan,2.49278401723132,01/01/2011,,Superman vs Muhammad Ali
86198,75,15448487,"Alice (Fictitious character : Carroll) / Comic books, strips, etc. / Juvenile fiction.",,1,,9.78E+12,179,Raintree,3.01418006420135,01/01/2010,,Lewis Carroll's Alice in Wonderland
86199,94,16031295,"Alien (Motion picture) / Comic books, strips, etc.",,1,,9.78E+12,234,Titan Books,0.187135094311088,01/01/2012,,Alien :the illustrated story
86201,53,12029336,Aliens (Motion picture) / Pictorial works / Fiction.,,1,,1852867566,64,Titan Books,0.0610096240416169,01/01/1996,,Aliens :outbreak
86202,27,10120011,Aliens / Caricatures and cartoons.,,1,,086166132X,487,Knockabout Comics,4.00815075263381,01/01/1998,,Aliens ate my trousers :crazy comics from the pages of 'Fortean Times'
86203,88,12286272,"Aliens / Comic books, strips, etc / Fiction.",,1,,1840232587,76,Titan,2.51228188630193,01/01/2000,,Back on the street
86267,9,11191448,American comics,,1,,,58,Marvel Comics,3.77007980132475,01/01/1985,,Marvel super heroes secret wars.
86268,65,11308268,American comics,,1,,140127798,489,Pantheon [i.e. Penguin],3.03476127563044,01/01/1989,,Read yourself RAW
86269,60,11634798,American comics,,1,,,186,Marvel Comics Ltd,3.04712963989004,01/01/1982,,The Avengers.
86354,81,8747241,American humorous cartoons,,1,,510000584,313,Benn,0.646307244896889,01/01/1979,,Great moments in architecture
86355,83,8766151,American humorous cartoons,,1,,719536138,487,J. Murray,2.96727485023439,01/01/1978,,No comment :cartoons
86356,18,8792658,American humorous cartoons,,1,,852234821,230,Ebury,2.11433469783515,01/01/1985,,Dear God kids
86358,59,9034900,American humorous cartoons,,1,,451004086,406,New American Library,1.41917512519285,01/01/1970,,The return of a 'Mad' look at old movies
86360,65,9034901,American humorous cartoons,,1,,451005058,246,New English Library,2.17787572182715,01/01/1970,,Mad about 'Mad'
86361,75,9034902,American humorous cartoons,,1,,451005120,233,New English Library,0.298888150136918,01/01/1970,,William M. Gaines's 'Mad' power
85992,8,12025163,1910-1970,,1,,901276073,262,The Library,4.01221479522064,01/01/1975,,22 comic artists :an exhibition
85994,23,8077927,1920-1930,,1,,486250210,118,Dover,4.05277107143775,01/01/1986,,1001 spot illustrations of the lively twenties
85996,58,9459405,1920-1945,,1,,856134368,298,Orbis,0.29158731456846,01/01/1984,,Heckling Hitler :caricatures of the Third Reich
85997,31,8130347,1921-1922,,1,,946114005,183,James Klugman Pictorials,0.181370545178652,01/01/1982,,Communist cartoons :cartoons from The communist 1921-22
85999,59,7370811,1925-1975,,1,,233968105,42,Deutsch,2.08944759564474,01/01/1976,,"The 'New Yorker' album of drawings, 1925-1975."
86001,82,7449161,1926-,,1,,907849830,110,Ashmolean Museum,4.27985932445154,01/01/1987,,Caricatures and watercolours.
86362,9,9034906,American humorous cartoons,,1,,451006119,332,New American Library,4.01536114513874,01/01/1972,,'Mad's' Al Jaffee spews out more snappy answers to stupid questions
86364,78,9037564,American humorous cartoons,,1,,486205363,229,Dover Publications,1.19124682154506,01/01/1972,,The underground sketchbook of Tomi Ungerer
86366,16,9037702,American humorous cartoons,,1,,486227405,307,Dover Publications,0.898629429284483,01/01/1971,,The underground sketchbook of Jan Faust.
86368,10,9041036,American humorous cartoons,,1,,551003480,389,Lakeland Paperbacks,3.8963571167551,01/01/1972,,Young pillars :the creator of 'Peanuts' takes a look at Church young people
86369,78,9041037,American humorous cartoons,,1,,551003499,311,Lakeland Paperbacks,1.60052755381912,01/01/1972,,'Teen-ager' is not a disease
86370,44,9041038,American humorous cartoons,,1,,551003561,207,Lakeland Paperbacks,4.22880073077977,01/01/1972,,What was bugging ol' Pharaoh?
86371,90,9374259,American humorous cartoons,,1,,6369324,314,Fontana,3.1597353098914,01/01/1985,,Help! I've changed my mind!
86372,4,9374267,American humorous cartoons,,1,,6369499,333,Fontana,1.47792611503974,01/01/1985,,Dogs are better than cats
86373,73,9459491,American humorous cartoons,,1,,856136026,260,Orbis,1.24015402048826,01/01/1983,,No good men :things men do that make women mad
86374,80,9459569,American humorous cartoons,,1,,856138134,253,Orbis,3.90869280556217,01/01/1985,,No good lawyers
86375,46,9468358,American humorous cartoons,,1,,859693856,452,Sheldon,3.97071013459936,01/01/1983,,Herman for lovers
86376,11,9468359,American humorous cartoons,,1,,859693864,439,Sheldon,4.25433408701792,01/01/1983,,Herman for the hospitalized
86377,89,9468360,American humorous cartoons,,1,,859693872,488,Sheldon,4.09582789987326,01/01/1983,,Herman for pet fanciers
86378,70,9468402,American humorous cartoons,,1,,085969481X,17,Sheldon,4.03171975864097,01/01/1985,,The latest Herman
86379,19,9681184,American humorous cartoons,,1,,572009119,426,Foulsham,3.26248483965173,01/01/1973,,Ziggy-
86380,50,9926017,American humorous cartoons,,1,,1381849,65,Collins,1.6081097885035,01/01/1973,,Dinosaur joke book
86381,34,9926403,American humorous cartoons,,1,,486227375,75,Dover Publications,2.80179955996573,01/01/1971,,The best of Gluyas Williams
86383,56,9938859,American humorous cartoons,,1,,034016879X,415,Coronet,1.29724611761048,01/01/1973,,Hurray for B.C. :selected cartoons from 'The Sunday best of B.C.'
86384,47,9940979,American humorous cartoons,,1,,034017322X,251,Coronet,4.65523942839354,01/01/1973,,"You're something special, Snoopy! :selected cartoons from 'The unsinkable Charlie Brown', Vol.2"
86385,63,10023516,American humorous cartoons,,1,,60104295,389,Harper and Row,3.44810680486262,01/01/1979,,"Animals, animals, animals :a collection of great animal cartoons"
86386,57,10025208,American humorous cartoons,,1,,60911778,403,Harper & Row,4.26452096784487,01/01/1984,,Parallel universes :cartoons
86387,11,10043078,American humorous cartoons,,1,,330269496,481,Picador,1.76957412622869,01/01/1983,,Bruce McCall's Zany afternoons.
86388,98,10068677,American humorous cartoons,,1,,057112531X,295,Faber,4.86728193238378,01/01/1985,,The Gang of eight
86389,59,10068679,American humorous cartoons,,1,,571125417,150,Faber and Faber,1.44239668967202,01/01/1985,,The next Szep book
86390,5,10536542,American humorous cartoons,,1,,,215,Byblos Productions Ltd,2.06846227636561,01/01/1976,,Cracked.
86391,80,10686671,American humorous cartoons,,1,,340207620,58,Coronet,3.87949672760442,01/01/1976,,BC it's a funny world
86392,43,10689204,American humorous cartoons,,1,,340287853,269,Hodder and Stoughton,0.495167761109769,01/01/1982,,The Garfield treasury
86393,24,10689384,American humorous cartoons,,1,,340328908,14,Hodder and Stoughton,2.36004959326237,01/01/1983,,Snoopy parade
86394,39,10690161,American humorous cartoons,,1,,340361190,242,Hodder and Stoughton Childrens,4.06086727278307,01/01/1984,,Snoopy and the twelve days of Christmas
86396,8,10690614,American humorous cartoons,,1,,340379049,311,Caronet,2.58461535675451,01/01/1985,,"B.C., I don't wanta hear about it"
86397,0,10704723,American humorous cartoons,,1,,584103689,124,Muller,1.63990891771391,01/01/1979,,The calculating cat returns
86398,49,10704747,American humorous cartoons,,1,,584104383,74,Muller,3.07622841792181,01/01/1980,,The natural superiority of the left-hander
86399,86,10704788,American humorous cartoons,,1,,584107641,41,Muller,3.77586217829958,01/01/1981,,Throw a tomato :and 151 other ways to be mean and nasty
86400,17,10712912,American humorous cartoons,,1,,600208222,432,Hamlyn Paperbacks,2.5385383493267,01/01/1983,,No good dogs
86401,59,10712913,American humorous cartoons,,1,,600208230,464,Hamlyn Paperbacks,1.97258553467691,01/01/1983,,How to make love to a cat
86402,65,10970369,American humorous cartoons,,1,,854680535,352,Tom Stacey Ltd,0.376389734447002,01/01/1971,,My crowd
86404,61,11305087,American humorous cartoons,,1,,140043845,139,Penguin,1.76733908010647,01/01/1977,,William Hamilton's anti-social register.
86406,50,11305695,American humorous cartoons,,1,,140053344,278,Penguin,0.132320846896619,01/01/1982,,The Penguin Edward Koren :cartoons
86407,69,11306009,American humorous cartoons,,1,,140059679,186,Penguin,1.85431584948674,01/01/1981,,"Well, there's your problem :cartoons"
86408,35,11306312,American humorous cartoons,,1,,140066128,399,Penguin,3.00749310059473,01/01/1982,,Jules Feiffer's America :from Eisenhower to Reagan
86567,31,10686314,American humorous strip cartoons,,1,,340198737,32,Coronet,4.04101365245879,01/01/1975,,BC cave in
86002,50,11983491,1931-1939,,1,,703001299,139,H. Baker,0.825025984086096,01/01/1977,,Tiger Tim's own comic collection
86009,49,7363208,1945-,,1,,224028723,339,Cape,2.26182718761265,01/01/1986,,Jodhpurs in the Quantocks
86003,36,7434582,1939-1945,,1,,090584730X,21,Starfish,3.13684155233204,01/01/1985,,Cog in the war machine
86004,10,10553842,1940-1965,,1,,,156,"[Centre for the Study of Cartoons and Caricature, University of Kent at Canterbury]",4.85674574272707,01/01/1981,,"Beaverbrook's England 1940-1965 :an exhibition of cartoon originals by Michael Cummings, David Low, Vicky and Sidney 'George' Strube"
86005,87,7362471,1945-,,1,,224019163,266,Cape,0.524312029592693,01/01/1983,,I Leonardo
86007,44,7362917,1945-,,1,,022402471X,86,Cape,4.74495134083554,01/01/1988,,The big I am
86011,23,7363276,1945-,,1,,224022806,232,Cape,2.65854530502111,01/01/1984,,Between the eyes
86013,77,8096999,1945-,,1,,718115201,182,Joseph,1.82155814720318,01/01/1976,,The Shell book of motoring humour
86015,39,8155867,1945-,,1,,1872139019,337,Meadbh,4.40019076922908,01/01/1989,,Sapphowoman and the Greater Belfast dykes.
86016,3,8737787,1945-,,1,,289705029,121,Studio Vista,1.10665210988373,01/01/1975,,The dragon book
