book_id,author
95047,100 British Cartoonists of the Century (Exhibition)
97486,Aardman Animations (Firm)
96447,"Aaron, Jason"
96454,"Aaron, Jason"
91818,"Aaron, Jason"
97881,"Aaron, Jason."
97910,"Aaron, Jason."
98042,"Aaron, Jason."
86222,"Aaron, Jason."
91763,"Aaron, Jason."
93084,"Aaron, Jason."
96438,"Aaron, Jason."
99517,"Aaron, Jason."
99517,"Aaron, Jason."
98756,"Abadzis, Nick."
90184,"Abadzis, Nick."
90185,"Abadzis, Nick."
91768,"Abadzis, Nick."
92102,"Abadzis, Nick."
88111,"Abbott, John."
91813,"Abbott, Wes."
91813,"Abbott, Wes."
97211,"Abel, Jessica."
91337,Abel.
91801,"Able, Krent."
92985,"Abnett, Dan."
97669,"Abnett, Dan."
93158,"Abnett, Dan."
90280,"Abnett, Dan."
89237,"Abnett, Dan."
99504,"Abnett, Dan."
98064,"Abnett, Dan."
93222,"Abnett, Dan."
91774,"Abnett, Dan."
91825,"Abnett, Dan."
90139,"Abnett, Dan."
96258,"Abnett, Dan."
86052,"Abou Hamad, Nabil."
92967,"Abouet, Marguerite"
92968,"Abouet, Marguerite"
89781,"Abouet, Marguerite"
96458,"Abraham, Daniel"
96432,"Abraham, Daniel."
98577,"Aburto, Jesus"
89656,"Acampora, Michael Vincent"
89681,"Achde,"
89771,"Achde,"
89812,"Achde,"
89859,"Achde,"
90320,"Aclin, Justin"
98840,"Acton, Peter."
97140,"Adams, Arthur."
86065,"Adams, Neal"
86066,"Adams, Neal"
99569,"Adams, Neal"
87589,"Adams, Neal"
92800,"Adams, Neal"
97998,"Adams, Neal"
99523,"Adams, Neal"
86196,"Adams, Neal"
99014,"Adams, Neal"
86740,"Adams, Scott"
101106,"Adams, Scott"
101107,"Adams, Scott"
86811,"Adams, Scott"
99981,"Adams, Scott"
86860,"Adams, Scott"
86861,"Adams, Scott"
86862,"Adams, Scott"
86863,"Adams, Scott"
86864,"Adams, Scott"
86865,"Adams, Scott"
86869,"Adams, Scott"
86870,"Adams, Scott"
86871,"Adams, Scott"
101111,"Adams, Scott"
86872,"Adams, Scott"
92874,"Adams, Scott"
92511,"Adams, Scott"
100177,"Adams, Scott"
101113,"Adams, Scott"
92872,"Adams, Scott"
87077,"Adams, T. R."
87076,"Adamson, Joe."
86349,"Addams, Charles"
86352,"Addams, Charles"
86402,"Addams, Charles"
86432,"Addams, Charles"
86439,"Addams, Charles"
96062,"Adelman, Bob."
93165,"Adlard, Charles"
93198,"Adlard, Charles"
98733,"Adlard, Charles"
93147,"Adlard, Charles."
93149,"Adlard, Charles."
100875,"Adlard, Charles."
88834,"Adlard, Charles."
97606,"Adlard, Charles."
97682,"Adlard, Charlie."
97713,"Adlard, Charlie."
92042,"Adley, D. J."
90317,"Aggs, John."
89138,"Aggs, John."
90317,"Aggs, Patrice."
97556,"Aguilar, Edwin."
96336,"Ahearn, Michael"
90650,"Ahlberg, Allan."
90650,"Ahlberg, Janet."
98636,"Ahn, JiYoung"
90833,Aikiku.
91929,Air Gallery.
98518,"Ajibode, Theo."
97802,"Akamatsu, Ken."
88100,"Akerlund, Erica."
92834,"Akins, Tony."
98614,Akinsiku
101150,"Akuto (Derby, England)"
91652,"Alamy, Christian."
91652,"Alamy, Christian."
99042,"Alamy, Christian."
91737,"Alanguilan, Gerry."
99330,"Albano, John."
87546,"Albuqerque, Rafael."
99561,"Albuquerque, Rafael"
99585,"Albuquerque, Rafael"
99489,"Alcala, Alfredo P."
99527,"Alcala, Alfredo P."
92852,"Alcala, Alfredo P."
91675,Alcante
87525,"Alcatena, Quique"
86541,"Aldridge, Alan."
86541,"Aldridge, Alan."
86226,"Alessio, Agustin"
91836,"Alexander, David R."
88057,"Alexander, David."
91652,"Alexander, Doug."
91652,"Alexander, Doug."
89172,"Alexovich, Aaron."
91718,"Allan, Angus P."
86139,"Allegri, Natasha"
90649,"Allen, Julian."
86550,"Allen, Woody"
96238,"Allie, Scott."
96252,"Allie, Scott."
96252,"Allie, Scott."
96254,"Allie, Scott."
96254,"Allie, Scott."
99161,"Allie, Scott."
99161,"Allie, Scott."
87967,"Allie, Scott."
96532,"Allie, Scott."
96532,"Allie, Scott."
91722,"Allie, Scott."
88197,"Allinson, Jim."
89058,"Allred, Mike"
89058,"Allred, Mike"
99250,"Alphona, Adrian."
99253,"Alphona, Adrian."
89969,"Alsip, Neil."
97556,"Alsip, Neil."
86815,"Altschuler, John."
91907,"Alvarez, Tom"
90009,"Ambrosio, Stefano."
92499,"Amend, Bill."
92500,"Amend, Bill."
88116,American Bande Dessinee Society.
88117,American Bande Dessinee Society.
86186,"Ames, Jonathan."
87003,Amnesty International.
91042,Amon spek (1985)
88896,"Amory, Mark"
92295,Anderson & Low.
85958,"Anderson, Anthony"
89874,"Anderson, Brad"
89875,"Anderson, Brad"
89876,"Anderson, Brad"
89877,"Anderson, Brad"
86300,"Anderson, Brad."
91570,"Anderson, Brad."
87916,"Anderson, Brent Eric."
97578,"Anderson, David."
94027,"Anderson, Gerry"
94029,"Anderson, Gerry"
94037,"Anderson, Gerry"
99282,"Anderson, Gerry"
99285,"Anderson, Gerry"
100663,"Anderson, Kevin J."
97606,"Anderson, Kevin J."
89563,"Anderson, Matt"
86150,"Andolfo, Mirka."
96428,"Andrews, Esao."
87054,"Andrews, Jackie."
101125,"Andreyko, Marc."
99517,"Andreyko, Marc."
99517,"Andreyko, Marc."
89789,"Andru, Ross"
89416,"Andru, Ross."
